"Case","OCC_DATE","OCC_YEAR","OCC_Month","OCC_QTR","CASE_STATUS_DESC","UCR","UCR_EXT_CODE","OFFENSE_DESC","Bias Type","LOC_CODE","Location_Description","DeIdentifiedLocation","X_COORDINATE","Y_COORDINATE"
"2018755806","2018-11-02",2018,11,4,"REFUSED BY DA - INSUFFICIENT ID EVID","5309","0","HARASSMENT","ANTI-MULTIPLE RACES, GROUP","52","SCHOOL - COLLEGE/UNIVERSITY","3300 BLOCK W REGIS BLVD",3131452,1713240
"20186010927","2018-11-02",2018,11,4,"INACTIVE","2999","0","CRIMINAL MISCHIEF - OTHER","ANTI-JEWISH","20","RESIDENCE/HOME","1800 BLOCK 28TH ST",3144201,1703697
"20186010401","2018-10-20",2018,10,4,"REFUSED BY DA - NO LIKELIHOOD OF CONVICTION","2999","1","CRIMINAL MISCHIEF - MTR VEH","ANTI-BLACK OR AFRICAN AMERICAN","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","900 BLOCK N GRANT ST",3145315,1691531
"2018688673","2018-10-07",2018,10,4,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","5309","0","HARASSMENT","ANTI-BLACK OR AFRICAN AMERICAN","1","AIR/BUS/TRAIN TERMINAL","2800 BLOCK W HOWARD PL",3133859,1693916
"2018645900","2018-09-19",2018,9,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-BLACK OR AFRICAN AMERICAN","20","RESIDENCE/HOME","200 BLOCK W 14TH AVE",3143067,1694192
"2018641067","2018-09-18",2018,9,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","5016","0","VIOLATION OF RESTRAINING ORDER","ANTI-GAY (MALE)","3","BAR/NIGHT CLUB","2000 BLOCK N BROADWAY ST",3144179,1698444
"2018632010","2018-09-14",2018,9,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-ISLAMIC (MUSLIM)","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","16TH ST / CHAMPA ST",3142299,1697200
"201921574","2018-09-07",2018,9,3,"INACTIVE","1316","0","THREATS TO INJURE","ANTI-GAY (MALE)","53","SCHOOL - ELEMENTARY/SECONDARY","2900 BLOCK N SPEER BLVD",3134131,1702018
"2018594402","2018-08-30",2018,8,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","5309","0","HARASSMENT","ANTI-HISPANIC OR LATINO","5","COMMERCIAL/OFFICE BUILDING","2100 BLOCK S SHERIDAN BLVD",3125419,1671991
"2018583429","2018-08-26",2018,8,3,"INACTIVE","1313","0","ASSAULT - SIMPLE","ANTI-TRANSGENDER","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","E 38TH AVE / N PONTIAC ST",3167018,1705635
"2018564057","2018-08-18",2018,8,3,"INACTIVE","1315","0","AGGRAVATED ASSAULT","ANTI-TRANSGENDER","50","PARK/PLAYGROUND","1400 BLOCK N BROADWAY ST",3144130,1694794
"2018548585","2018-08-12",2018,8,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","2","MENACING - FELONY W/WEAP","ANTI-BLACK OR AFRICAN AMERICAN","18","PARKING LOT/GARAGE","E COLFAX AVE / N DOWNING ST",3148176,1694866
"20195000424","2018-08-02",2018,8,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","5309","0","HARASSMENT","ANTI-GAY (MALE)","5","COMMERCIAL/OFFICE BUILDING","1600 BLOCK PLATTE ST",3138537,1701291
"2018517523","2018-07-31",2018,7,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1316","0","THREATS TO INJURE","ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER (MIXED GROUP)","3","BAR/NIGHT CLUB","2000 BLOCK N BROADWAY ST",3144179,1698444
"2018516347","2018-07-30",2018,7,3,"REFUSED BY DA - INSUFFICIENT ID EVID","5309","0","HARASSMENT","ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER (MIXED GROUP)","3","BAR/NIGHT CLUB","2000 BLOCK N BROADWAY ST",3144179,1698444
"20186007401","2018-07-28",2018,7,3,"INACTIVE","2999","2","CRIMINAL MISCHIEF - GRAFFITI","ANTI-GAY (MALE)","20","RESIDENCE/HOME","900 BLOCK N LIPAN ST",3140086,1691410
"2018511087","2018-07-28",2018,7,3,"INACTIVE","1316","0","THREATS TO INJURE","ANTI-TRANSGENDER","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","1700 BLOCK WYNKOOP ST",3140598,1699567
"2018505310","2018-07-25",2018,7,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-BLACK OR AFRICAN AMERICAN","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","2200 BLOCK BLAKE ST",3142914,1700740
"2018502012","2018-07-24",2018,7,3,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","5309","0","HARASSMENT","ANTI-WHITE","20","RESIDENCE/HOME","1400 BLOCK N CORONA ST",3147796,1694459
"2018452807","2018-07-04",2018,7,3,"REFUSED BY DA - NO LIKELIHOOD OF CONVICTION","1313","0","ASSAULT - SIMPLE","ANTI-GAY (MALE)","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","4400 BLOCK N WALDEN CT",3203272,1709019
"2018437401","2018-06-29",2018,6,2,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","1313","0","ASSAULT - SIMPLE","ANTI-BLACK OR AFRICAN AMERICAN","7","CONVENIENCE STORE","1500 BLOCK N COLORADO BLVD",3157446,1695333
"2018556363","2018-06-21",2018,6,2,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","5309","0","HARASSMENT","ANTI-ISLAMIC (MUSLIM)","20","RESIDENCE/HOME","800 BLOCK 14TH ST",3141746,1696494
"2018406703","2018-06-17",2018,6,2,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","0","AGGRAVATED ASSAULT","ANTI-WHITE","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","S ACOMA ST / W MEXICO AVE",3143882,1675077
"20185002899","2018-06-11",2018,6,2,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","1316","0","THREATS TO INJURE","ANTI-ISLAMIC (MUSLIM)","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","LEETSDALE DR / S QUEBEC ST",3167834,1679871
"2018373210","2018-06-01",2018,6,2,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1316","0","THREATS TO INJURE","ANTI-GAY (MALE)","25","OTHER/UNKNOWN","4300 BLOCK N KALAMATH ST",3140270,1707898
"2018365417","2018-05-31",2018,5,2,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","1315","2","MENACING - FELONY W/WEAP","ANTI-GAY (MALE)","18","PARKING LOT/GARAGE","1200 BLOCK N COLORADO BLVD",3157366,1693555
"2018362977","2018-05-29",2018,5,2,"INACTIVE","2999","0","CRIMINAL MISCHIEF - OTHER","ANTI-BLACK OR AFRICAN AMERICAN","21","RESTAURANT","1700 BLOCK E 25TH AVE",3149872,1699598
"2018370583","2018-05-28",2018,5,2,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","2999","0","CRIMINAL MISCHIEF - OTHER","ANTI-PHYSICAL DISABILITY","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","1400 BLOCK N COLORADO BLVD",3157323,1694619
"2018355224","2018-05-27",2018,5,2,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-BLACK OR AFRICAN AMERICAN","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","1700 BLOCK WYNKOOP ST",3140760,1699507
"2018350760","2018-05-21",2018,5,2,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","5309","0","HARASSMENT","ANTI-HISPANIC OR LATINO","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","3100 BLOCK W FLORIDA AVE",3132944,1676422
"2018334835","2018-05-18",2018,5,2,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","1313","0","ASSAULT - SIMPLE","ANTI-GAY (MALE)","20","RESIDENCE/HOME","2800 BLOCK W 37TH AVE",3134162,1704898
"2018326066","2018-05-12",2018,5,2,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1316","0","THREATS TO INJURE","ANTI-BLACK OR AFRICAN AMERICAN","20","RESIDENCE/HOME","2700 BLOCK S GROVE ST",3133079,1667514
"2018310128","2018-05-08",2018,5,2,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","2999","2","CRIMINAL MISCHIEF - GRAFFITI","ANTI-BLACK OR AFRICAN AMERICAN","20","RESIDENCE/HOME","18900 BLOCK E CHAFFEE PL",3206313,1709512
"2019284462","2018-05-01",2018,5,2,"REFUSED BY DA - NO LIKELIHOOD OF CONVICTION","5309","0","HARASSMENT","ANTI-HISPANIC OR LATINO","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","18600 BLOCK E 43RD PL",3204866,1708166
"2018227921","2018-04-06",2018,4,2,"INACTIVE","1315","2","MENACING - FELONY W/WEAP","ANTI-BLACK OR AFRICAN AMERICAN","18","PARKING LOT/GARAGE","2600 BLOCK W ALAMEDA AVE",3135347,1684163
"2018200607","2018-03-25",2018,3,1,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1316","0","THREATS TO INJURE","ANTI-ISLAMIC (MUSLIM)","53","SCHOOL - ELEMENTARY/SECONDARY","900 BLOCK N GALAPAGO ST",3141543,1691673
"20185004575","2018-03-23",2018,3,1,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","5309","0","HARASSMENT","ANTI-LESBIAN (FEMALE)","20","RESIDENCE/HOME","4700 BLOCK N HIGH ST",3150572,1710551
"2018194699","2018-03-23",2018,3,1,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1316","0","THREATS TO INJURE","ANTI-BLACK OR AFRICAN AMERICAN","18","PARKING LOT/GARAGE","18600 BLOCK E GVR BLVD",3205114,1711659
